n_estimators,max_depth,min_samples_split,class_weight,mean_f1,std_f1
200,20.0,10,balanced_subsample,0.8688090479860904,0.001018541587670768
200,20.0,10,balanced,0.8686003997874415,0.0013367870514874522
100,20.0,10,balanced_subsample,0.8685734615765814,0.0011404836549063775
50,20.0,10,balanced_subsample,0.868433018423373,0.0009784438800630416
50,10.0,2,balanced,0.868275179627997,0.0006772902410466624
200,10.0,5,balanced,0.8682668444360154,0.0004714187427730644
100,20.0,10,balanced,0.8682655526265975,0.0009739984786745705
200,10.0,10,balanced,0.8681935280204618,0.00042388036879011657
200,10.0,2,balanced,0.8681661023724533,0.00038113681887188156
100,10.0,5,balanced,0.8681193232149292,0.0004281432528594413
100,10.0,2,balanced,0.8680392018438221,0.00032467886262671367
200,,10,balanced_subsample,0.8680260223518136,0.0008028841587244349
200,10.0,5,balanced_subsample,0.8679804133790124,0.0005369392060080633
100,10.0,2,balanced_subsample,0.8679591218892527,0.00011562879349112072
50,10.0,2,balanced_subsample,0.8678873268951278,0.00033044159649635166
100,10.0,5,balanced_subsample,0.8678164040390746,0.0008931951375327704
50,10.0,5,balanced,0.8678006424961913,0.0003248270292631613
100,10.0,10,balanced,0.8677525567073937,0.0001325805291615203
100,10.0,10,balanced_subsample,0.8676983557240124,0.0004029478849194974
200,,10,balanced,0.8676886129666855,0.0009063988822537635
200,10.0,2,balanced_subsample,0.8676491884135437,9.333123306738846e-05
200,10.0,10,balanced_subsample,0.867545002475763,0.0001001109292233466
50,10.0,10,balanced,0.8675076078499875,0.00040274659509114996
50,20.0,10,balanced,0.8674691149305002,0.001256718594009473
50,10.0,5,balanced_subsample,0.8673202683541916,0.00036859604226582865
100,,10,balanced_subsample,0.8673187877778424,0.0004532281192033433
100,,10,balanced,0.8672551720002026,0.00017511758321233178
50,10.0,10,balanced_subsample,0.8671724511821154,0.0002665636774576066
50,,10,balanced,0.8670746395197492,0.0010775149118545258
200,20.0,5,balanced,0.8666313010883524,0.0009182993734758221
50,,10,balanced_subsample,0.8665634145819041,0.0006980356349274009
100,20.0,5,balanced_subsample,0.8664235778005208,0.0013762312343143358
200,20.0,5,balanced_subsample,0.8660852739375441,0.001269942032627951
100,20.0,5,balanced,0.8660849977766678,0.001060097553725119
50,20.0,5,balanced_subsample,0.8657104392256993,0.001754558021393004
50,20.0,5,balanced,0.8649623587644698,0.0005263244343174978
100,,5,balanced,0.8640302380752343,0.0012490639683721068
200,,5,balanced_subsample,0.8638625054322401,0.0013675576890684177
200,,5,balanced,0.8636198233514417,0.0014044064517692106
100,,5,balanced_subsample,0.8632080151766856,0.0014859124399093564
50,,5,balanced,0.8629469449715804,0.0017627824058881621
200,20.0,2,balanced_subsample,0.8628427959854316,0.0010828904673125445
100,20.0,2,balanced_subsample,0.862331021797205,0.001171935483436241
200,20.0,2,balanced,0.8622918094285371,0.001178365235147789
50,,5,balanced_subsample,0.8622561843960416,0.0013125686011575721
100,20.0,2,balanced,0.8616104107694363,0.0009775673119612274
50,20.0,2,balanced_subsample,0.861234057484317,0.0012463911938054592
50,20.0,2,balanced,0.8607826038401986,0.0009602218459086143
200,,2,balanced,0.8557980678787253,0.0012805364740007613
200,,2,balanced_subsample,0.8557442224785445,0.001039267085351285
100,,2,balanced_subsample,0.8547362931265114,0.0006370620446461806
100,,2,balanced,0.8543412264889888,0.0014641581583819268
50,,2,balanced,0.8533122439143669,0.0015921140322369418
50,,2,balanced_subsample,0.8524881227500508,0.0008452419880053401
