n_estimators,max_depth,min_samples_split,min_samples_leaf,mean_rmse,std_rmse
100,10.0,10,1,0.00660627972885438,0.0017705103197488553
100,10.0,10,2,0.00660803522082945,0.0017865505576637923
200,10.0,10,2,0.006615048087672117,0.001790297067152555
50,10.0,10,2,0.006617536704786549,0.0017897439797642449
200,10.0,10,4,0.006621323142814089,0.0018312688582232761
200,10.0,10,1,0.006625215010852267,0.0017603991443144857
200,,10,4,0.006628601419380956,0.0018059862908472296
50,10.0,10,1,0.006629242938333793,0.00178751275213939
200,30.0,10,4,0.006631252861866153,0.0018068874389943308
100,10.0,10,4,0.00663164306106051,0.0018344831902180408
200,20.0,10,4,0.006631698555841244,0.0018048444565858823
100,20.0,10,2,0.006636554771655423,0.001753893443980063
100,30.0,10,2,0.006636717740641569,0.0017622665479026442
100,20.0,10,4,0.006637553687356981,0.0018033519542774862
100,,10,2,0.0066392772302135555,0.0017589933355898623
100,,10,4,0.006641833327891494,0.0018096081905682852
200,30.0,10,2,0.0066433528276158066,0.0017543332745124421
100,30.0,10,4,0.006644057671239146,0.0018102819661937727
200,20.0,10,2,0.006644568932925569,0.0017527627466242123
200,,10,2,0.006645814523377443,0.0017555794106004204
100,20.0,10,1,0.006647691756576038,0.001713241653665819
50,30.0,10,2,0.006647926453965347,0.001760172740806297
100,,10,1,0.006649478199179303,0.0017133569606509616
100,30.0,10,1,0.006649954140271838,0.001711771231232124
50,10.0,10,4,0.006651177686737993,0.0018392294646533542
50,20.0,10,4,0.006652214442929718,0.0018024449143176475
50,20.0,10,2,0.006653827285213742,0.0017555090274564578
50,,10,2,0.006654605448448282,0.001756106033365631
200,20.0,10,1,0.0066599880884380515,0.0017054041361761973
200,30.0,10,1,0.0066615101838275875,0.0017030140548489267
50,,10,4,0.006663502143191482,0.0018213230221050243
50,30.0,10,4,0.0066635617884359295,0.0018216451096924589
200,10.0,5,4,0.006665655418131411,0.001812719402751694
200,10.0,2,4,0.006665655418131412,0.0018127194027516946
200,,10,1,0.006666202553254025,0.001706131426586224
100,10.0,2,4,0.006671485692763372,0.0018198170619782834
100,10.0,5,4,0.006671485692763372,0.001819817061978283
200,,2,4,0.006671666000946878,0.0017905195331749373
200,,5,4,0.006671666000946878,0.0017905195331749373
200,30.0,2,4,0.0066722677488399084,0.0017930212245632065
200,30.0,5,4,0.006672267748839909,0.001793021224563206
100,,2,4,0.00667700697122987,0.0017923052059630538
100,,5,4,0.006677006971229871,0.0017923052059630545
200,20.0,2,4,0.006677815025702888,0.0017945383835305609
200,20.0,5,4,0.006677815025702888,0.0017945383835305609
100,30.0,2,4,0.006678349212846415,0.0017922369459726487
100,30.0,5,4,0.006678349212846415,0.0017922369459726487
50,10.0,5,4,0.006679200170145373,0.001828854349971488
50,10.0,2,4,0.006679200170145373,0.0018288543499714882
100,20.0,2,4,0.0066819580777640565,0.0017938611886463215
100,20.0,5,4,0.0066819580777640565,0.001793861188646322
50,,5,4,0.006685271914670686,0.0017999927398458014
50,,2,4,0.006685271914670686,0.0017999927398458014
50,30.0,2,4,0.006686752596410424,0.0018006740443726583
50,30.0,5,4,0.006686752596410424,0.0018006740443726583
50,,10,1,0.006687316403591044,0.0017240328696863068
50,20.0,5,4,0.006690279549746524,0.0018046884122605313
50,20.0,2,4,0.006690279549746524,0.0018046884122605313
50,20.0,10,1,0.006691898731068108,0.001726668193808969
50,30.0,10,1,0.0066937079572547895,0.0017243386995632313
50,10.0,5,2,0.006696355497286464,0.0017860978417495628
100,10.0,5,2,0.006701091737180019,0.001782796485166015
100,10.0,5,1,0.006715576076479325,0.0017761604912062982
50,10.0,2,2,0.006724389364323226,0.0018002869451726315
200,10.0,5,2,0.006725702370637615,0.001783416211143112
100,10.0,2,2,0.0067266526202271375,0.0017807909495640819
50,10.0,5,1,0.006726735563884906,0.0017961702333732388
100,30.0,5,2,0.0067398864390927566,0.0017275340457652054
100,,5,2,0.006742990401673195,0.0017285309035419965
200,10.0,5,1,0.006743569700594083,0.0017635988203732378
50,30.0,5,2,0.006750021916546728,0.0017403562638885312
200,10.0,2,2,0.006751836006115293,0.0017874140507258872
50,10.0,2,1,0.006754377371981972,0.0018311393485764642
100,20.0,5,2,0.006758563374474596,0.0017365554846611717
50,,5,2,0.006760203125279237,0.0017456174528382457
200,,5,2,0.006767533280327073,0.0017217668329124985
200,30.0,5,2,0.006768045448968136,0.0017277245787098838
100,30.0,2,2,0.006770243931886196,0.0017282131885418888
100,10.0,2,1,0.006770307620344654,0.0018164798434653735
100,30.0,5,1,0.006770612277929726,0.001699202222000898
50,20.0,5,2,0.006772258965403892,0.0017483274029667013
200,20.0,5,2,0.006773109373062185,0.0017330283633941682
100,20.0,5,1,0.006773865978405409,0.001698634283892224
50,30.0,2,2,0.006781597283326085,0.0017231520792248083
100,20.0,2,2,0.006781836711564116,0.0017425226169564614
100,,2,2,0.0067833036459931184,0.0017354835476987255
200,30.0,5,1,0.00678617912256356,0.0017002797156545327
50,,2,2,0.006789743430168148,0.0017440884811739206
100,,5,1,0.00679078715718726,0.001699830153667166
200,10.0,2,1,0.0067922946902264315,0.0018139972451048751
200,20.0,5,1,0.006794047482877797,0.0016902978428926846
50,20.0,2,2,0.006797376115538202,0.001761484099847067
200,30.0,2,2,0.00679797309960617,0.0017367089183704647
50,30.0,5,1,0.006805561044820854,0.0017115219112114823
200,,5,1,0.0068060060102402365,0.0016845496061865196
200,20.0,2,2,0.00680671172180358,0.0017426353502849755
50,20.0,5,1,0.006809466919186506,0.001722762977766776
200,,2,2,0.006809640163951296,0.001746582493461144
100,30.0,2,1,0.006811496721121693,0.0017509105156929146
100,,2,1,0.006817406901350592,0.001743315412062223
50,,2,1,0.006827164891337583,0.001738933566740903
50,,5,1,0.006828644137380341,0.0017200335929168221
50,30.0,2,1,0.006843290191031261,0.0017888066182124706
200,30.0,2,1,0.006846768286670982,0.0017413307172232401
200,,2,1,0.006848747387400138,0.0017346851057947418
100,20.0,2,1,0.0068704756696135365,0.0017668750006436982
200,20.0,2,1,0.006883909396855889,0.0017511960789008058
50,20.0,2,1,0.00691266143757422,0.001803404800550541
